match_id,competition_id
303707,11
303666,11
303715,11
303377,11
303524,11
303517,11
303610,11
303473,11
3773386,11
3773565,11
3773457,11
3773631,11
3773665,11
3773497,11
3773660,11
3773593,11
3773466,11
3773585,11
3773552,11
3773672,11
3773587,11
3773656,11
3773377,11
3773586,11
3773372,11
3773387,11
3773695,11
3773369,11
3773661,11
3773597,11
3773523,11
3773571,11
3773428,11
3764661,11
3773526,11
3773474,11
3773625,11
3773403,11
3773547,11
3773415,11
3764440,11
3773689,11
3773477,11
3750234,116
3879863,12
3879773,12
3879847,12
3879862,12
3879817,12
3879825,12
3879750,12
3879567,12
3879785,12
3879705,12
3879628,12
3879665,12
3879699,12
3879703,12
3879609,12
3879653,12
3879632,12
3879663,12
3879645,12
3879579,12
3879566,12
3879587,12
3879556,12
3879585,12
3879582,12
3879564,12
3879562,12
3879837,12
3879838,12
3879839,12
3879840,12
3879836,12
3879833,12
3879828,12
3879832,12
3879830,12
3879792,12
3879795,12
3879794,12
3879788,12
3879787,12
3879786,12
3879784,12
3879783,12
3879782,12
3879781,12
3879780,12
3879779,12
3879778,12
3879777,12
3879774,12
3879776,12
3879771,12
3879772,12
3879756,12
3879754,12
3879748,12
3879749,12
3879747,12
3879742,12
3879746,12
3879744,12
3879745,12
3879743,12
3879739,12
3879741,12
3879740,12
3879738,12
3879737,12
3879732,12
3879707,12
3879702,12
3879704,12
3879701,12
3879700,12
3879706,12
3878559,12
3879636,12
3879627,12
3879626,12
3879625,12
3879624,12
3879623,12
3879622,12
3879621,12
3879620,12
3878611,12
3878610,12
3878608,12
3878607,12
3878606,12
3878605,12
3879876,12
3879875,12
3879874,12
3879873,12
3879872,12
3879871,12
3879870,12
3879869,12
3879868,12
3879867,12
3879866,12
3879865,12
3879864,12
3879861,12
3879860,12
3879859,12
3879858,12
3879857,12
3879856,12
3879855,12
3879854,12
3879853,12
3879852,12
3879851,12
3879850,12
3879849,12
3879848,12
3879846,12
3879845,12
3879844,12
3879843,12
3879842,12
3879841,12
3879835,12
3879834,12
3879831,12
3879829,12
3879827,12
3879826,12
3879824,12
3879823,12
3879822,12
3879821,12
3879820,12
3879819,12
3879818,12
3879816,12
3879815,12
3879814,12
3879813,12
3879812,12
3879811,12
3879810,12
3879809,12
3879808,12
3879807,12
3879806,12
3879805,12
3879804,12
3879803,12
3879802,12
3879801,12
3879800,12
3879799,12
3879798,12
