640,Mladen Krstajić,,1974-03-04
646,Óscar Antonio Ramírez Hernández,Óscar Ramírez,1964-12-08
476,Óscar Washington Tabárez Silva,Óscar Tabárez,1947-03-03
631,Tae-Yong Shin,Shin Tae-Yong,1970-10-11
632,Juan Carlos Osorio Arbeláez,Juan Carlos Osorio,1961-06-08
542,Adam Nawałka,,1957-10-23
629,Ricardo Alberto Gareca Nardi,Ricardo Gareca,1958-02-10
643,Fernando Ruiz Hierro,Fernando Hierro,1968-03-23
602,Joachim Löw,,1960-02-03
557,Nabil Maâloul,,1962-07-25
641,Åge Fridtjof Hareide,Åge Hareide,1953-09-23
636,Gernot Rohr,,1953-06-28
648,Heimir Hallgrímsson,,1967-06-10
630,Lambertus van Marwijk,,1952-05-19
365,Stanislav Cherchesov,,1963-09-02
644,Akira Nishino,,1955-04-07
4624,Helmut Schön,,1915-09-15
4623,Georg Buschner,,1925-12-26
1003284,Vladislao Wenceslao Cap,,2023-07-05
4166,Carlos Salvador Bilardo,Carlos Bilardo,1938-03-16
4724,Franz Beckenbauer,,1945-09-11
1003262,Guy Thys,,1922-12-06
4747,Sebastião Barroso Lazaroni,Sebastião Lazaroni,1950-09-25
140,Denise Reddy,,1970-09-14
142,Rory Dames,,1973-02-10
127,Paul Riley,,1963-09-23
131,James Gabarra,,1959-09-22
132,Vera Pauw,,1963-01-18
134,Laura Harvey,,1980-05-15
129,Mark Richard David Parsons,,1986-08-08
141,Vlatko Andonovski,,1976-09-14
130,Tom Sermanni,,1954-07-01
3016,Peter Gerhardsson,,1959-08-22
429,Nils Herbert Kromann Nielsen,,1971-11-03
45,Sarina Glotzbach-Wiegman,Sarina Wiegman,1969-10-26
418,Jorge Vilda,,1981-07-07
53,Martina Voss-Tecklenburg,,1967-12-22
4197,Kenny Shiels,,1956-04-27
419,Francisco Miguel Conceição Roque Neto,Francisco Neto,1981-07-11
500,Corinne Catherine Diacre,,1974-08-04
4085,Milena Bertolini,,1966-06-24
764,Martin Sjögren,,1977-04-27
1001600,Irene Fuhrmann,,1980-09-23
426,Ives Serneels,,1972-10-16
3642,Thorsteinn Halldórsson,,1968-01-07
3574,Lars Søndergaard,,1959-04-05
753,Anna Signeul,,1961-05-20
5363,Štefan Tarkovič,,1973-02-18
701,Şenol Güneş,,1952-06-01
183,Jaroslav Šilhavý,,1961-11-03
4061,Franco Foda,,1966-04-23
4172,Igor Angelovski,,1976-06-02
2303,Andrii Shevchenko,,1976-09-29
686,Frank de Boer,,1970-05-15
3616,Marco Rossi,,1964-09-09
510,Steve Clarke,,1963-08-29
3622,Markku Kanerva,,1964-05-24
2983,Sylvain Ripoll,,1971-08-15
121,Thierry Laurey,,1964-02-17
281,Christophe Galtier,,1966-08-23
438,Michel Der Zakarian,,1963-02-18
1003442,Mohamed Bradja,,1969-11-16
3004,Franck Passi,,1966-03-28
1001260,Rolland Courbis,,1953-08-12
3632,François Ciccolini,,1962-06-03
752,Willy Sagnol,,1977-03-18
283,Bruno Génésio,,1966-09-01
4493,Ghislain Printant,,1961-05-03
427,José Leonardo Nunes Alves Sousa Jardim,Leonardo Jardim,1974-08-01
434,Jocelyn Gourvennec,,1972-03-22
3802,Laurent Blanc,,1965-11-19
301,Stéphane Moulin,,1967-08-04
119,Frédéric Hantz,,1966-05-30
433,Pascal Dupraz,,1962-09-19
24,Frédéric Antonetti,,1961-08-19
2936,Olivier Guégan,,1972-08-20
439,Patrice Garande,,1960-11-27
1003453,Ulrich Ramé,,1972-09-19
381,Claude Puel,,1961-09-02
201,David Guion,,1967-09-30
1001261,Dominique Arribagé,,1971-05-11
4946,Claude Robin,,1960-12-10
4768,Pascal Baills,,1964-12-30
3796,Hubert Fournier,,1967-09-03
213,Jean-Marc Furlan,,1957-11-20
4105,Patrick Collot,,1967-06-22
408,Tony Gustavsson,,1973-08-14
1000425,Bruce Mwape,,
177,Pia Mariane Sundhage,Pia Sundhage,1960-02-13
1003446,Ignacio Quintana Toledo,,1988-04-20
46,Andries Jonker,,1962-09-22
1003258,Futoshi Ikeda,,1970-10-04
1003417,Randy Marlon Waldrum,,1956-09-25
1000081,Beverly Priestman,,1986-04-29
1003448,Nelson Abadía Aragón,,1956-06-05
1003439,Lorne Julian Donaldson,,1986-10-09
3925,Desiree Ellis,,1963-03-14
760,Reynald Pedros,,1971-10-10
1769,Hege Riise,,1969-07-18
1002252,Inka Grings,,1978-10-31
4855,Amelia Valverde,,1987-01-14
1003445,Germán Darío Portanova,,1973-10-19
1003429,Qingxia Shui,Shui Qingxia,1966-12-18
1003427,Nicolas Michel Gregory Delépine,,1979-05-04
1003426,Đức Chung Mai,Mai Đức Chung,1951-06-21
2957,Alen Stajčić,,1973-11-02
1003415,Jitka Klimková,,1974-08-20
585,Colin Bell,,1961-08-05
1003449,Angelo Marsiglia,,
2975,Jillian Ellis,,1966-09-06
4390,Nuengrutai Srathongvian,,1972-01-01
4389,José Antonio Letelier Henríquez,José Letelier,1966-05-23
4043,Asako Takemoto Takakura,Asako Takakura,1968-04-19
3445,"Michelle \"Shelley\" Kerr",Shelley Kerr,1969-10-15
4350,Alain Djeumfa,,1972-07-30
3541,Ante Milicic,,1974-04-04
4243,Hue Menzies,,1964-03-10
3447,José Carlos Borrello,,1955-09-12
4553,Thomas Dennerby,,1959-08-13
4300,Deuk-Yeo Yoon,Yoon Deuk-Yeo,1961-03-25
3955,Xiuquan Jia,Jia Xiuquan,1963-11-09
172,Kenneth Heiner-Møller,,1971-01-17
3464,Phil Neville,,1977-01-21
3540,Oswaldo Fumeiro Alvarez,,1956-08-21
1003263,Silvio Marzolini,,1940-10-04
1003264,Ángel Amadeo Labruna,,2023-09-28
3640,Ramón Ángel Díaz,Ramón Díaz,1959-08-29
1003273,Héctor Rodolfo Veira,,1946-05-29
1003075,Alfredo Stéfano Di Stéfano Laulhé,Alfredo Di Stéfano,1926-07-04
1001762,Miguel Muñoz,,1922-01-19
445,Julian Nagelsmann,,1987-07-23
58,André Breitenreiter,,1973-10-02
374,Niko Kovač,,1971-10-15
51,Pál Dárdai,,1976-03-16
319,Daniel Stendel,,1974-04-04
446,Bruno Labbadia,,1966-02-08
377,Dirk Schuster,,1967-12-29
186,Martin Schmidt,,1967-04-12
1797,Huub Stevens,,1953-11-29
1003174,Michael Frontzeck,,1964-03-26
279,Thomas Tuchel,,1973-08-29
1003175,Armin Veh,,1961-02-01
411,Dieter Hecking,,1964-09-12
1003277,Jürgen Kramny,,1971-10-18
672,Markus Weinzierl,,1974-12-28
287,Alexander Zorniger,,1967-10-08
3055,Viktor Skripnik,,1969-11-19
3980,Roger Schmidt,,1967-03-13
44,Ralph Hasenhüttl,,1967-08-09
43,Peter Stöger,,1966-04-11
3650,André Schubert,,1971-07-24
6065,Thomas Schaaf,,1961-04-30
1002246,Markus Krösche,,1980-09-17
59,Markus Gisdol,,1969-08-17
428,Lucien Favre,,1957-11-02
