6821,Jesús Navas González,Jesús Navas
6825,Daniel Filipe Martins Carriço,Daniel Carriço
6919,Guilherme Antonio Arana Lopes,Guilherme Arana
11541,Tomáš Vaclík,
13360,Quincy Anton Promes,Quincy Promes
23921,Juan Soriano Oropesa,Juan Soriano
13599,Carles Aleña Castillo,Carles Aleñà
3313,Giovani Lo Celso,
5214,William Silva de Carvalho,William Carvalho
5563,José Andrés Guardado Hernández,Andrés Guardado
5687,Takashi Inui,
6647,Zouhair Feddal,
6648,Aïssa Mandi,
6651,Joaquín Sánchez Rodríguez,Joaquín
6657,Sergio León Limones,Sergio León
6658,Cristian Tello Herrera,Cristian Tello
6663,Antonio Barragán Fernández,Antonio Barragán
6673,Sergio Canales Madrazo,Sergio Canales
6777,Sidnei Rechel da Silva Júnior,Sidnei
6792,Pau López Sabata,Pau López
6880,Arnaldo Antonio Sanabria Ayala,Antonio Sanabria
7068,Marc Bartra Aregall,Marc Bartra
7910,Lorenzo Jesús Morón García,Loren Morón
16309,Joel Robles Blázquez,Joel Robles
17304,Héctor Junior Firpo Adames,Junior Firpo
3245,Thomas Lemar,
5198,Diego da Silva Costa,Diego Costa
5199,Jorge Resurrección Merodio,Koke
5484,Lucas Hernández Pi,Lucas Hernandez
5487,Antoine Griezmann,
5696,Santiago Arias Naranjo,Santiago Arias
5723,Gelson Dany Batalha Martins,Gelson Martins
6320,Filipe Luís Kasmirski,Filipe Luis
6376,Stefan Savić,
6377,Ángel Martín Correa,Ángel Correa
6378,Jan Oblak,
6381,Saúl Ñíguez Esclapez,Saúl Ñíguez
6383,Thomas Teye Partey,Thomas Partey
6654,Antonio Adán Garrido,Antonio Adán
6765,Rodrigo Hernández Cascante,Rodri
6841,Víctor Machín Pérez,Vitolo
7033,Nikola Kalinić,
8136,Antonio Moya Vega,Toni Moya
22197,Juan Miranda González,Juan Miranda
37237,Ignacio Peña Sotorres,Iñaki Peña
3551,Karl Brillant Toko Ekambi,Karl Toko Ekambi
4629,José Ramiro Funes Mori,Ramiro Funes Mori
5688,Carlos Arturo Bacca Ahumada,Carlos Bacca
6737,Alfonso Pedraza Sag,Alfonso Pedraza
6752,Víctor Ruíz Torre,Víctor Ruíz
6753,Daniel Raba Antolín,Dani Raba
6755,Sergio Asenjo Andrés,Sergio Asenjo
6762,Álvaro González Soberón,Álvaro González
6764,Pablo Fornals Malla,Pablo Fornals
6766,Gerard Moreno Balaguero,Gerard Moreno
6771,Manuel Trigueros Muñoz,Manu Trigueros
6772,Mario Gaspar Pérez Martínez,Mario Gaspar
6828,Jaume Vicent Costa Jordá,Jaume Costa
8697,Andrés Eduardo Fernández Moreno,Andrés Fernández
11384,Manuel Morlanes Ariño,Manu Morlanes
11385,Santiago Cáseres,
11386,Santiago Cazorla González,Santi Cazorla
16335,Samuel Chimerenka Chukwueze,Samuel Chukwueze
3236,Sergi Darder Moll,Sergi Darder
5598,Óscar Esau Duarte Gaitán,Óscar Duarte
6569,Roberto José Rosales Altuve,Roberto Rosales
6571,Roberto Jiménez Gago,Roberto Jiménez
6754,David López Silva,David López
6758,Víctor Sánchez Mata,Víctor Sánchez
6761,Leonardo Carrilho Baptistão,Léo Baptistão
6763,Pablo Daniel Piatti,Pablo Piatti
6767,Sergio García De La Fuente,Sergio García
6768,Diego López Rodríguez,Diego López
6769,Edinaldo Gomes Pereira,Naldo
6770,Esteban Félix Granero Molina,Esteban Granero
6791,Javier López Rodríguez,Javi López
6838,Hernán Arsenio Pérez González,Hernán Pérez
6866,Marc Roca Junqué,Marc Roca
6886,Dídac Vilá Rosselló,Dídac Vilá
6902,Óscar Melendo Jiménez,Óscar Melendo
11391,Borja Iglesias Quintas,Borja Iglesias
4407,Sanjin Prcić,
6668,José Luis Morales Nogales,José Luis Morales
6672,Jorge Andújar Moreno,Coke
6678,Emmanuel Okyere Boateng,Emmanuel Boateng
6680,Rubén Rochina Naixes,Rubén Rochina
6681,José Manuel Rodríguez Benito,Chema
6682,Sergio Postigo Redondo,Sergio Postigo
6684,Roger Martí Salvador,Roger Martí
6688,José Ángel Gómez Campaña,José Campaña
6691,David Remeseiro Salgueiro,Jason
6692,Oier Olazábal Paredes,Oier Olazábal
6782,Enis Bardhi,
6784,Antonio García Aranda,Toño
6807,Roberto Suárez Pier,Rober
6809,Erick Cathriel Cabaco Almada,Erick Cabaco
18163,Moses Daddy-Ajala Simon,Moses Simon
21147,Borja Mayoral Moya,Borja Mayoral
23344,Aitor Fernández Abarisketa,Aitor Fernández
3625,Sofiane Boufal,
5217,Iago Aspas Juncal,Iago Aspas
5516,Pione Sisto Ifolo Emirmija,Pione Sisto
6297,Maximiliano Gómez González,Maxi Gómez
6794,Gustavo Daniel Cabral Cáceres,Gustavo Cabral
6795,Rubén Blanco Veiga,Rubén Blanco
6798,Stanislav Lobotka,
6799,Brais Méndez Portela,Brais Méndez
6805,Hugo Mallo Novegil,Hugo Mallo
6852,Jozabed Sánchez Ruiz,Jozabed Sánchez
6876,Róbert Mazáň,
6884,Sergio Álvarez Conde,Sergio Álvarez
10759,Andrew Hjulsager,
11388,Néstor Alejandro Araújo Razo,Néstor Araujo
11389,Francisco José Beltrán Peinado,Fran Beltrán
12555,Okay Yokuşlu,
17804,David Costas Cordal,David Costas
22029,Kevin Vázquez Comesaña,Kevin Vázquez
4546,Dimitri Foulquier,
4712,Samuel Sáiz Alonso,Samuel Sáiz
6611,Ángel Luis Rodríguez Díaz,Ángel Rodríguez
6619,Vitorino Gabriel Pacheco Antunes,Vitorino Antunes
6627,Damián Nicolás Suárez Suárez,Damián Suárez
6630,Jorge Molina Vidal,Jorge Molina
6631,Mathieu Flamini,
6634,Djené Dakonam Ortega,Djene Dakonam
6635,Leandro Daniel Cabrera Sasía,Leandro Cabrera
6722,David Soria Solís,David Soria
6863,Mauro Wilney Arambarri Rosa,Mauro Arambarri
6872,Bruno González Cabrera,Bruno González
6873,Francisco Portillo Soler,Francisco Portillo
6901,Nemanja Maksimović,
6931,Leandro Chichizola,
7154,Sebastián Carlos Cristóforo Pepe,Sebastián Cristóforo
11550,Jaime Mata Arnaiz,Jaime Mata
18721,Robert Ibáñez Castro,Robert Ibáñez
6698,Marko Dmitrović,
6700,Sergio Enrich Ametller,Sergi Enrich
6701,Joan Jordán Moreno,Joan Jordán
6705,José Ángel Valdés Díaz,Cote
6708,Paulo André Rodrigues de Oliveira,Paulo Oliveira
6709,Anaitz Arbilla Zabala,Anaitz Arbilla
6710,Rubén Peña Jiménez,Rubén Peña
6711,Enrique García Martínez,Kike
6712,Gonzalo Escalante,
6867,Papa Kouly Diop,Pape Diop
7105,Fabián Ariel Orellana Valenzuela,Fabián Orellana
7907,Pedro Bigas Rigo,Pedro Bigas
8555,Pablo Ezequiel De Blasis,Pablo de Blasis
10763,Asier Riesgo Unamuno,Asier Riesgo
12072,Pere Milla Peña,Pere Milla
13107,Sergio Álvarez Díaz,Sergio Álvarez
13108,Marc Cardona Rovira,Marc Cardona
17620,Marc Cucurella Saseta,Marc Cucurella
4447,Martin Braithwaite Christensen,Martin Braithwaite
5830,Kenneth Josiah Omeruo,Kenneth Omeruo
6580,José Luis García del Pozo,Recio
6603,Dimitrios Siovas,
6606,Javier Eraso Goñi,Javi Eraso
21390,Andriy Lunin,
23561,Vasyl Kravets,
8668,Kevin-Prince Boateng,
6887,Jonás Ramalho Chimeno,Jonás Ramalho
7578,Anthony Rubén Lozano Colón,Anthony Lozano
22129,Valery Fernández Estrada,Valery Fernández
23264,Seung-Ho Paik,Paik Seung-Ho
42283,Alejandro Pachón Párraga,Álex Pachón
6594,Santiago Mina Lorenzo,Santi Mina
6748,Ferrán Torres García,Ferrán Torres
6830,Facundo Sebastián Roncaglia,Facundo Roncaglia
22740,Kang-In Lee,Lee Kang-In
6387,Iñigo Córdoba Kerejeta,Iñigo Córdoba
6397,Unai Núñez Gestoso,Unai Núñez
6662,Iago Herrerín Buisán,Iago Herrerín
8540,Kenan Kodro,
10612,Yoel Rodríguez Oterino,Yoel
17027,Sergio Guardiola Navarro,Sergi Guardiola
22020,Joaquín Fernández Moreno,Joaquín Fernández
23492,Stiven Ricardo Plaza Castillo,Stiven Plaza
7040,Marko Rog,
8068,Maximilian Wöber,
11332,Ibrahim Amadou,
3509,Thibaut Courtois,
4926,Francisco Román Alarcón Suárez,Isco
5200,Lucas Vázquez Iglesias,Lucas Vázquez
5201,Sergio Ramos García,Sergio Ramos
5463,Luka Modrić,
5485,Raphaël Varane,
