match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week
3829489,2015-09-27,17:00:00.000,2,1,available,unscheduled,2023-07-20T12:49:40.823445,,8
3829488,2015-09-27,17:00:00.000,3,3,available,unscheduled,2023-07-24T06:02:04.608414,,8
3829487,2015-09-26,20:00:00.000,2,0,available,unscheduled,2023-08-03T12:01:16.501221,,8
3829486,2015-09-26,20:00:00.000,3,0,available,unscheduled,2023-08-03T12:00:25.855930,,8
3829485,2015-09-26,20:00:00.000,1,1,available,unscheduled,2023-08-19T19:48:47.417496,,8
3829484,2015-09-26,20:00:00.000,3,1,available,unscheduled,2023-07-19T20:13:39.345715,,8
3829483,2015-09-26,17:30:00.000,1,4,available,unscheduled,2023-07-24T05:57:59.448841,,8
3829482,2015-09-25,20:30:00.000,1,0,available,unscheduled,2023-08-03T11:59:32.224689,,8
3829481,2015-09-24,18:55:00.000,2,3,available,unscheduled,2023-07-24T05:56:15.826726,,7
3829480,2015-09-23,19:00:00.000,0,1,available,unscheduled,2023-08-06T07:29:53.844624,,7
3829477,2015-09-23,21:00:00.000,1,1,available,unscheduled,2023-07-24T08:05:46.301378,,7
3829476,2015-09-23,19:00:00.000,2,0,available,unscheduled,2023-08-06T14:35:54.790427,,7
3829475,2015-09-23,19:00:00.000,6,1,available,unscheduled,2023-07-24T05:53:47.945508,,7
3829474,2015-09-22,19:00:00.000,0,0,available,unscheduled,2023-08-03T11:57:53.635119,,7
3829473,2015-09-22,21:00:00.000,3,0,available,unscheduled,2023-08-03T11:56:56.790419,,7
3829472,2015-09-20,21:00:00.000,1,1,available,unscheduled,2023-07-25T08:17:20.496747,,6
3829471,2015-09-20,14:00:00.000,1,1,available,unscheduled,2023-07-25T08:20:36.816840,,6
3829468,2015-09-19,20:00:00.000,2,1,available,unscheduled,2023-07-25T08:14:12.139398,,6
3829467,2015-09-19,20:00:00.000,2,1,available,unscheduled,2023-07-25T08:15:10.804846,,6
3829465,2015-09-19,17:30:00.000,1,1,available,unscheduled,2023-07-19T17:40:13.889315,,6
3829464,2015-09-19,20:00:00.000,1,3,available,unscheduled,2023-07-25T10:21:43.335238,,6
3829463,2015-09-18,20:30:00.000,1,1,available,unscheduled,2023-07-25T08:13:13.474196,,6
3829462,2015-09-13,14:00:00.000,0,1,available,unscheduled,2023-08-03T11:55:57.130271,,5
3829461,2015-09-13,21:00:00.000,4,1,available,unscheduled,2023-07-24T10:44:24.500138,,5
3829460,2015-09-13,17:00:00.000,0,2,available,unscheduled,2023-08-03T11:55:14.331702,,5
3829458,2015-09-12,20:00:00.000,2,2,available,unscheduled,2023-08-05T14:51:30.846630,,5
3829457,2015-09-12,20:00:00.000,1,2,available,unscheduled,2023-07-24T10:43:34.215347,,5
3829456,2015-09-12,20:00:00.000,3,1,available,unscheduled,2023-07-26T13:14:59.264724,,5
3829455,2015-09-12,20:00:00.000,1,3,available,unscheduled,2023-07-26T22:49:09.206037,,5
3829453,2015-09-11,20:30:00.000,2,2,available,unscheduled,2023-07-24T10:41:44.185610,,5
3829452,2015-08-30,17:00:00.000,2,0,available,unscheduled,2023-08-03T11:54:22.617247,,4
3829451,2015-08-30,14:00:00.000,2,1,available,unscheduled,2023-07-19T17:39:22.429794,,4
3829450,2015-08-30,21:00:00.000,0,3,available,unscheduled,2023-08-03T11:51:44.029675,,4
3829449,2015-08-29,20:00:00.000,3,1,available,unscheduled,2023-07-24T10:34:03.247770,,4
3829448,2015-08-29,20:00:00.000,4,1,available,unscheduled,2023-07-25T08:45:26.306730,,4
3829447,2015-08-29,20:00:00.000,1,0,available,unscheduled,2023-08-03T11:50:40.736249,,4
3829446,2015-08-29,20:00:00.000,0,0,available,unscheduled,2023-08-03T11:49:51.186243,,4
3829444,2015-08-29,17:00:00.000,0,4,available,unscheduled,2023-08-03T11:48:57.771359,,4
3829443,2015-08-28,20:30:00.000,2,0,available,unscheduled,2023-08-03T11:48:10.758119,,4
3829442,2015-08-23,14:00:00.000,0,0,available,unscheduled,2023-08-03T11:47:24.823644,,3
3829441,2015-08-23,21:00:00.000,6,0,available,unscheduled,2023-07-25T08:44:36.691269,,3
3829440,2015-08-23,17:00:00.000,0,1,available,unscheduled,2023-07-19T15:00:14.482284,,3
3829437,2015-08-22,20:00:00.000,0,2,available,unscheduled,2023-08-01T22:12:04.083272,,3
3829436,2015-08-22,20:00:00.000,1,0,available,unscheduled,2023-08-03T11:46:36.000488,,3
3829435,2015-08-22,17:00:00.000,1,2,available,unscheduled,2023-08-02T00:11:09.132441,,3
3829434,2015-08-22,20:00:00.000,3,0,available,unscheduled,2023-08-30T11:08:44.723243,,3
3829432,2015-08-16,21:00:00.000,2,0,available,unscheduled,2023-08-06T19:10:33.447594,,2
3829431,2015-08-16,17:00:00.000,1,1,available,unscheduled,2023-07-25T08:18:52.757952,,2
3829430,2015-08-16,14:00:00.000,1,0,available,unscheduled,2023-08-03T11:45:40.769690,,2
3829429,2015-08-15,20:00:00.000,1,0,available,unscheduled,2023-08-02T00:10:18.389502,,2
